1001,Arroz Costeno,Abarrotes,3.50,40
1002,Azucar Rubia,Abarrotes,2.80,25
1003,Aceite Primor,Abarrotes,12.00,15
1004,Fideos Don Vittorio,Abarrotes,4.20,50
1005,Sal Lobos,Abarrotes,1.50,70
1006,Leche Gloria,Lacteos,4.80,20
1007,Yogurt Laive,Lacteos,3.00,30
1008,Mantequilla Bonle,Lacteos,6.50,18
1009,Queso Andino,Lacteos,10.00,12
1010,Huevos Pardos,Granja,0.60,200
1011,Pollo Entero,Granja,12.50,10
1012,Pechuga de Pollo,Granja,16.00,8
1013,Manzana Selenio,Frutas,4.50,30
1014,Platano Isla,Frutas,2.00,45
1015,Naranja Valencia,Frutas,3.00,40
1016,Cebolla Roja,Vegetales,2.20,35
1017,Zanahoria Amarilla,Vegetales,1.80,50
1018,Papa Yungay,Vegetales,2.50,60
1019,Tomate Italiano,Vegetales,3.20,25
1020,Galletas Soda Snacks,Snacks,1.20,80
1021,Galletas Oreo,Snacks,2.50,55
1022,Papas Lays,Snacks,4.00,65
1023,Chizitos Snacks,Snacks,1.80,70
1024,Coca Cola,Bebidas,3.80,90
1025,Inca Kola,Bebidas,3.50,85
1026,Agua San Luis,Bebidas,2.00,120
1027,Red Bull,Bebidas,8.00,20
1028,Jugo Frugos,Bebidas,4.00,40
1029,Atun Primor,Enlatados,6.00,35
1030,Duraznos Compass,Enlatados,7.50,22
